Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-03-03 14:30:00+00:00,241.48500061035156,244.02720642089844,239.8249969482422,241.7220001220703,10137001
2025-03-03 15:30:00+00:00,241.19000244140625,242.6300048828125,241.12669372558594,241.5,3962348
2025-03-03 16:30:00+00:00,242.5399932861328,242.5500030517578,240.6649932861328,241.22999572753906,2726862
2025-03-03 17:30:00+00:00,240.96499633789062,242.98680114746094,240.74000549316406,242.5399932861328,2892774
2025-03-03 18:30:00+00:00,241.15179443359375,241.8699951171875,240.44000244140625,241.02000427246094,3716220
2025-03-03 19:30:00+00:00,241.46499633789062,241.6999053955078,241.14999389648438,241.16000366210938,146536
